תיקייה ראשית,תיקיית משנה,שם קובץ,סוג קובץ,סטטוס,מיקום נוכחי,מיקום מומלץ,קישור Google Drive,הערות
00_CORE,doctrine,_מעבדת_העצמאות_חזון_v3_1_2026-04-15.docx,docx,FORMAT_ERROR,/mnt/project/,00_CORE/doctrine/,,קובץ טקסט UTF-8 לא DOCX אמיתי. בדיקה ידנית.
00_CORE,doctrine,_01_01_גישתה_של_דליה_עקרונות_תפעוליים_v3_0_2026-04-14.docx,docx,FORMAT_ERROR + DUPLICATE_IDENTICAL,/mnt/project/,00_CORE/doctrine/,,MD5 זהה לחזון v3.1. שניהם טקסט UTF-8.
00_CORE,doctrine,__Language_Engine_v2_1_Operational_Source_of_Truth_02_05_2026.docx,docx,LOCKED,/mnt/project/,00_CORE/doctrine/,,8.5KB קטן מ-v1.2 (22.9KB). בדיקה ידנית.
00_CORE,doctrine,עקרונות_כתיבה___גרסה_נעולה_v1_0__.docx,docx,LOCKED,/mnt/project/,00_CORE/doctrine/,,
00_CORE,doctrine,03_משפט_פעולה_הגדרה_מבנית_v1_0_01-05-2026.docx,docx,קיים,/mnt/project/,00_CORE/doctrine/,,מועבר לפי הכרעת דליה
00_CORE,doctrine,Independence_Lab_Theoretical_Foundation_v1_0.docx,docx,חסר,—,00_CORE/doctrine/,,לא נמצא בפועל. רשום ב-INDEX קודם.
00_CORE,theory,בולבי_ואיינסוורת___עצמאות_ילדים_3-10.docx,docx,חסר,—,00_CORE/theory/,,לא נמצא בפועל. רשום ב-INDEX קודם.
00_CORE,theory,מאסלו__עצמאות_ילדים_ובוט_הורים.docx,docx,חסר,—,00_CORE/theory/,,לא נמצא בפועל. רשום ב-INDEX קודם.
00_CORE,theory,תיאוריות_ההתפתחות_המובילות_לשפה_מעשית_ותפקודית.docx,docx,חסר,—,00_CORE/theory/,,לא נמצא בפועל. רשום ב-INDEX קודם.
00_CORE,locked_decisions,Version_Lock_v1_02_05_2026.docx,docx,נעול,/mnt/project/,00_CORE/locked_decisions/,,
00_CORE,locked_decisions,Locked_Decision_Ledger_v1.0_02.05.2026.docx,docx,חסר,—,00_CORE/locked_decisions/,,לא נמצא בפועל. רשום ב-INDEX קודם.
00_CORE,locked_decisions,Canonical_Vocabulary_v1_0_02.05.2026.docx,docx,חסר,—,00_CORE/locked_decisions/,,לא נמצא בפועל. רשום ב-INDEX קודם.
